"pick_number","name","code","year","all_star","all_nba1","all_nba2","all_nba3"
40,"Young,Korleone","youngko01",1998,0,0,0,0
41,"Mobley,Cuttino","moblecu01",1998,0,0,0,0
42,"Simon,Miles","simonmi01",1998,0,0,0,0
43,"White,Jahidi","whiteja01",1998,0,0,0,0
44,"Marks,Sean","marksse01",1998,0,0,0,0
45,"Bailey,Toby","baileto01",1998,0,0,0,0
46,"Patterson,Andrae","pattean01",1998,0,0,0,0
47,"Wheeler,Tyson","wheelty01",1998,0,0,0,0
48,"Stack,Ryan","stackry01",1998,0,0,0,0
49,"Carr,Cory","carrco01",1998,0,0,0,0
50,"Betts,Andrew",NA,1998,0,0,0,0
51,"Brewer,Corey",NA,1998,0,0,0,0
52,"Dial,Derrick","dialde01",1998,0,0,0,0
53,"Buckner,Greg","buckngr01",1998,0,0,0,0
54,"Fowlkes,Tremaine","fowlktr01",1998,0,0,0,0
55,"Bowen,Ryan","bowenry01",1998,0,0,0,0
56,"Henderson,J.R.","hendejr01",1998,0,0,0,0
57,"Braggs,Torraye","braggto01",1998,0,0,0,0
58,"Baston,Maceo","bastoma01",1998,0,0,0,0
1,"Brand,Elton","brandel01",1999,2,0,1,0
2,"Francis,Steve","francst01",1999,3,0,0,0
3,"Davis,Baron","davisba01",1999,2,0,0,1
4,"Odom,Lamar","odomla01",1999,0,0,0,0
5,"Bender,Jonathan","bendejo01",1999,0,0,0,0
6,"Szczerbiak,Wally","szczewa02",1999,1,0,0,0
7,"Hamilton,Richard","hamilri01",1999,3,0,0,0
8,"Miller,Andre","millean02",1999,0,0,0,0
9,"Marion,Shawn","mariosh01",1999,4,0,0,2
10,"Terry,Jason","terryja01",1999,0,0,0,0
11,"Langdon,Trajan","langdtr01",1999,0,0,0,0
12,"Radojević,Aleksandar","radojal01",1999,0,0,0,0
13,"Maggette,Corey","maggeco01",1999,0,0,0,0
14,"Avery,William","averywi01",1999,0,0,0,0
15,"Weis,Frederic",NA,1999,0,0,0,0
16,"World Peace,Metta","artesro01",1999,1,0,0,1
17,"Bowdler,Cal","bowdlca01",1999,0,0,0,0
18,"Posey,James","poseyja01",1999,0,0,0,0
19,"Lewis,Quincy","lewisqu01",1999,0,0,0,0
20,"Glover,Dion","glovedi01",1999,0,0,0,0
21,"Foster,Jeff","fosteje01",1999,0,0,0,0
22,"Thomas,Kenny","thomake01",1999,0,0,0,0
23,"George,Devean","georgde01",1999,0,0,0,0
24,"Kirilenko,Andrei","kirilan01",1999,1,0,0,0
25,"James,Tim","jamesti01",1999,0,0,0,0
26,"Cummings,Vonteego","cummivo01",1999,0,0,0,0
27,"Jones,Jumaine","jonesju01",1999,0,0,0,0
28,"Padgett,Scott","padgesc01",1999,0,0,0,0
29,"Smith,Leon","smithle01",1999,0,0,0,0
30,"Celestand,John","celesjo01",1999,0,0,0,0
31,"Hill,Rico",NA,1999,0,0,0,0
32,"Ruffin,Michael","ruffimi01",1999,0,0,0,0
33,"Herren,Chris","herrech01",1999,0,0,0,0
34,"Eschmeyer,Evan","eschmev01",1999,0,0,0,0
35,"Booth,Calvin","boothca01",1999,0,0,0,0
36,"Zhizhi,Wang","zhizhwa01",1999,0,0,0,0
37,"Ekezie,Obinna","ekeziob01",1999,0,0,0,0
38,"Profit,Laron","profila01",1999,0,0,0,0
39,"Bramlett,A.J.","bramlaj01",1999,0,0,0,0
40,"Giriček,Gordan","giricgo01",1999,0,0,0,0
