"series_code","away","home","winner","avg_margin","games","away_url","home_url","away_net","home_net","net","home_win"
"New Jersey Nets_New York Knicks_2004","New York Knicks","New Jersey Nets","New Jersey Nets",12.75,4,"/teams/NYK/2004.html","/teams/NJN/2004.html",-1.5,2.5,4,1
"Memphis Grizzlies_San Antonio Spurs_2004","Memphis Grizzlies","San Antonio Spurs","San Antonio Spurs",14,4,"/teams/MEM/2004.html","/teams/SAS/2004.html",2.40000000000001,7.2,4.8,1
"Houston Rockets_Los Angeles Lakers_2004","Houston Rockets","Los Angeles Lakers","Los Angeles Lakers",5.4,5,"/teams/HOU/2004.html","/teams/LAL/2004.html",1.8,3.90000000000001,2.10000000000001,1
"Detroit Pistons_Milwaukee Bucks_2004","Milwaukee Bucks","Detroit Pistons","Detroit Pistons",12.6,5,"/teams/MIL/2004.html","/teams/DET/2004.html",1,5.8,4.8,1
"Dallas Mavericks_Sacramento Kings_2004","Dallas Mavericks","Sacramento Kings","Sacramento Kings",-1.4,5,"/teams/DAL/2004.html","/teams/SAC/2004.html",4.40000000000001,5,0.599999999999994,1
"Miami Heat_New Orleans Hornets_2004","New Orleans Hornets","Miami Heat","Miami Heat",3,7,"/teams/NOH/2004.html","/teams/MIA/2004.html",-0.100000000000009,0.599999999999994,0.700000000000003,1
"Denver Nuggets_Minnesota Timberwolves_2004","Denver Nuggets","Minnesota Timberwolves","Minnesota Timberwolves",4,5,"/teams/DEN/2004.html","/teams/MIN/2004.html",1.10000000000001,5.40000000000001,4.3,1
"Los Angeles Lakers_San Antonio Spurs_2004","Los Angeles Lakers","San Antonio Spurs","Los Angeles Lakers",-4.16666666666667,6,"/teams/LAL/2004.html","/teams/SAS/2004.html",3.90000000000001,7.2,3.3,0
"Detroit Pistons_New Jersey Nets_2004","New Jersey Nets","Detroit Pistons","Detroit Pistons",3.42857142857143,7,"/teams/NJN/2004.html","/teams/DET/2004.html",2.5,5.8,3.3,1
"Minnesota Timberwolves_Sacramento Kings_2004","Sacramento Kings","Minnesota Timberwolves","Minnesota Timberwolves",-1.14285714285714,7,"/teams/SAC/2004.html","/teams/MIN/2004.html",5,5.40000000000001,0.400000000000006,1
"Indiana Pacers_Miami Heat_2004","Miami Heat","Indiana Pacers","Indiana Pacers",3.16666666666667,6,"/teams/MIA/2004.html","/teams/IND/2004.html",0.599999999999994,5.80000000000001,5.20000000000002,1
"Los Angeles Lakers_Minnesota Timberwolves_2004","Los Angeles Lakers","Minnesota Timberwolves","Los Angeles Lakers",-2.16666666666667,6,"/teams/LAL/2004.html","/teams/MIN/2004.html",3.90000000000001,5.40000000000001,1.5,0
"Detroit Pistons_Indiana Pacers_2004","Detroit Pistons","Indiana Pacers","Detroit Pistons",-2.5,6,"/teams/DET/2004.html","/teams/IND/2004.html",5.8,5.80000000000001,1.4210854715202e-14,0
"Detroit Pistons_Los Angeles Lakers_2004","Detroit Pistons","Los Angeles Lakers","Detroit Pistons",-9,5,"/teams/DET/2004.html","/teams/LAL/2004.html",5.8,3.90000000000001,-1.89999999999999,0
"Milwaukee Bucks_New Jersey Nets_2003","Milwaukee Bucks","New Jersey Nets","New Jersey Nets",4.33333333333333,6,"/teams/MIL/2003.html","/teams/NJN/2003.html",0.200000000000003,5.30000000000001,5.10000000000001,1
"Boston Celtics_Indiana Pacers_2003","Boston Celtics","Indiana Pacers","Boston Celtics",-5.66666666666667,6,"/teams/BOS/2003.html","/teams/IND/2003.html",-0.399999999999991,3.5,3.89999999999999,0
"Phoenix Suns_San Antonio Spurs_2003","Phoenix Suns","San Antonio Spurs","San Antonio Spurs",5.33333333333333,6,"/teams/PHO/2003.html","/teams/SAS/2003.html",1.09999999999999,5.39999999999999,4.3,1
"Dallas Mavericks_Portland Trail Blazers_2003","Portland Trail Blazers","Dallas Mavericks","Dallas Mavericks",-1,7,"/teams/POR/2003.html","/teams/DAL/2003.html",2.7,7.8,5.09999999999999,1
"Sacramento Kings_Utah Jazz_2003","Utah Jazz","Sacramento Kings","Sacramento Kings",10.6,5,"/teams/UTA/2003.html","/teams/SAC/2003.html",2.40000000000001,6.5,4.09999999999999,1
"Detroit Pistons_Orlando Magic_2003","Orlando Magic","Detroit Pistons","Detroit Pistons",7.28571428571429,7,"/teams/ORL/2003.html","/teams/DET/2003.html",0.0999999999999943,3.7,3.60000000000001,1
"Los Angeles Lakers_Minnesota Timberwolves_2003","Los Angeles Lakers","Minnesota Timberwolves","Los Angeles Lakers",-6.33333333333333,6,"/teams/LAL/2003.html","/teams/MIN/2003.html",2.40000000000001,2.09999999999999,-0.300000000000011,0
"New Orleans Hornets_Philadelphia 76ers_2003","New Orleans Hornets","Philadelphia 76ers","Philadelphia 76ers",1.66666666666667,6,"/teams/NOH/2003.html","/teams/PHI/2003.html",2.10000000000001,2.3,0.199999999999989,1
"Boston Celtics_New Jersey Nets_2003","Boston Celtics","New Jersey Nets","New Jersey Nets",10,4,"/teams/BOS/2003.html","/teams/NJN/2003.html",-0.399999999999991,5.30000000000001,5.7,1
"Los Angeles Lakers_San Antonio Spurs_2003","Los Angeles Lakers","San Antonio Spurs","San Antonio Spurs",5.83333333333333,6,"/teams/LAL/2003.html","/teams/SAS/2003.html",2.40000000000001,5.39999999999999,2.99999999999999,1
"Detroit Pistons_Philadelphia 76ers_2003","Philadelphia 76ers","Detroit Pistons","Detroit Pistons",0,6,"/teams/PHI/2003.html","/teams/DET/2003.html",2.3,3.7,1.40000000000001,1
"Dallas Mavericks_Sacramento Kings_2003","Sacramento Kings","Dallas Mavericks","Dallas Mavericks",3.57142857142857,7,"/teams/SAC/2003.html","/teams/DAL/2003.html",6.5,7.8,1.3,1
"Detroit Pistons_New Jersey Nets_2003","New Jersey Nets","Detroit Pistons","New Jersey Nets",-9,4,"/teams/NJN/2003.html","/teams/DET/2003.html",5.30000000000001,3.7,-1.60000000000001,0
"Dallas Mavericks_San Antonio Spurs_2003","Dallas Mavericks","San Antonio Spurs","San Antonio Spurs",5,6,"/teams/DAL/2003.html","/teams/SAS/2003.html",7.8,5.39999999999999,-2.40000000000001,1
"New Jersey Nets_San Antonio Spurs_2003","New Jersey Nets","San Antonio Spurs","San Antonio Spurs",5.83333333333333,6,"/teams/NJN/2003.html","/teams/SAS/2003.html",5.30000000000001,5.39999999999999,0.0999999999999801,1
